# bag_name, start, duration, scenario_number, regenerate
kroonuaia_jakobi.geojson, 0, 0, kroonuaia_jakobi, true
naituse_veski_1.geojson, 0, 0, naituse_veski_1, true
naituse_veski_2.geojson, 0, 0, naituse_veski_2, true
naituse_veski_3.geojson, 0, 0, naituse_veski_3, true
raudtee_kabeli_1.geojson, 0, 0, raudtee_kabeli_1, true
raudtee_kabeli_2.geojson, 0, 0, raudtee_kabeli_2, true
raudtee_kabeli_3.geojson, 0, 0, raudtee_kabeli_3, true
raudtee_kabeli_4.geojson, 0, 0, raudtee_kabeli_4, true
riia_turu.geojson, 0, 0, riia_turu, true
roosi_left.geojson, 0, 0, roosi_left, true
roosi_right.geojson, 0, 0, roosi_right, true
roosi_straight.geojson, 0, 0, roosi_straight, true
roosi_test_exceptions.geojson, 0, 0, roosi_test_exceptions, true
vaike_turu.geojson, 0, 0, vaike_turu, true
straight_traj_collision_1.geojson, 0, 0, straight_traj_collision_1, true
straight_traj_collision_2.geojson, 0, 0, straight_traj_collision_2, true
traj_collision_approaching_vehicle.geojson, 0, 0, traj_collision_approaching_vehicle, true
raekoja_crosswalk.geojson, 0, 0, raekoja_crosswalk, true
louna_circle_levels.geojson, 0, 0, louna_circle_levels, true
routing_graph.geojson, 0, 0, routing_graph, true
right_hand_rule_1.geojson, 0, 0, right_hand_rule_1, true
right_hand_rule_2.geojson, 0, 0, right_hand_rule_2, true
yielding_1.geojson, 0, 0, yielding_1, true
yielding_roundabout.geojson, 0, 0, yielding_roundabout, true
left_turn_to_jaama.geojson, 0, 0, left_turn_to_jaama, true
crosswalk_angles.geojson, 0, 0, crosswalk_angles, true
crosswalk_cars_1.geojson, 0, 0, crosswalk_cars_1, true
crosswalk_cars_2.geojson, 0, 0, crosswalk_cars_2, true
crosswalk_scooter_1.geojson, 0, 0, crosswalk_scooter_1, true
