scenario_name,ade_score,ade_rating,fde_score,fde_rating,collision_score,collision_rating,max_deceleration,max_deceleration_rating
crosswalks_02,48.65,FAILURE,79.79,FAILURE,0.0,SUCCESS,1.14,SUCCESS
crosswalks_06,4.83,SUCCESS,3.96,SUCCESS,0.0,SUCCESS,5.29,FAILURE
crosswalks_07,1.82,SUCCESS,3.26,SUCCESS,0.0,SUCCESS,1.25,SUCCESS
crosswalks_09,6.54,SUCCESS,11.77,FAILURE,0.0,SUCCESS,2.67,FAILURE
crosswalks_10,2.4,SUCCESS,3.77,SUCCESS,0.0,SUCCESS,1.34,SUCCESS
crosswalks_11,40.89,FAILURE,86.86,FAILURE,0.02,FAILURE,4.96,FAILURE
crosswalks_12,3.8,SUCCESS,9.18,SUCCESS,0.04,FAILURE,2.64,FAILURE
crosswalks_13,2.26,SUCCESS,0.19,SUCCESS,0.0,SUCCESS,2.02,FAILURE
crosswalks_15,66.76,FAILURE,98.39,FAILURE,0.0,SUCCESS,1.26,SUCCESS
crosswalks_16,4.09,SUCCESS,0.64,SUCCESS,0.07,FAILURE,5.32,FAILURE
crosswalks_17,7.58,SUCCESS,17.37,FAILURE,0.0,SUCCESS,1.77,FAILURE
crosswalks_18,40.71,FAILURE,93.39,FAILURE,0.0,SUCCESS,1.26,SUCCESS
crosswalks_19,2.4,SUCCESS,4.92,SUCCESS,0.0,SUCCESS,5.52,FAILURE
crosswalks_20,20.88,FAILURE,27.06,FAILURE,0.0,SUCCESS,3.72,FAILURE
crosswalks_21,3.52,SUCCESS,2.46,SUCCESS,0.0,SUCCESS,2.13,FAILURE
crosswalks_22,6.35,SUCCESS,8.86,SUCCESS,0.0,SUCCESS,1.3,SUCCESS
crosswalks_23,4.4,SUCCESS,5.38,SUCCESS,0.0,SUCCESS,1.56,FAILURE
crosswalks_24,1.64,SUCCESS,3.97,SUCCESS,0.0,SUCCESS,1.14,SUCCESS
crosswalks_26,12.96,FAILURE,8.43,SUCCESS,0.0,SUCCESS,2.64,FAILURE
crosswalks_27,2.07,SUCCESS,0.87,SUCCESS,0.0,SUCCESS,4.97,FAILURE
crosswalks_28,4.63,SUCCESS,9.74,SUCCESS,0.0,SUCCESS,1.38,SUCCESS
AVERAGE,13.77,0.71,22.87,0.67,0.01,0.86,2.63,0.38
