scenario_name,ade_score,ade_rating,speed_smoothness,speed_smoothness_rating
lexus_01,4.0,SUCCESS,0.55,SUCCESS
lexus_02,6.19,SUCCESS,0.5,SUCCESS
lexus_03,1.98,SUCCESS,0.27,SUCCESS
lexus_04,3.26,SUCCESS,0.52,SUCCESS
lexus_05,1.06,SUCCESS,0.76,SUCCESS
lexus_06,0.57,SUCCESS,0.0,SUCCESS
lexus_07,5.4,SUCCESS,0.0,SUCCESS
lexus_08,1.7,SUCCESS,0.34,SUCCESS
lexus_09,35.6,FAILURE,0.0,SUCCESS
lexus_10,7.17,SUCCESS,0.55,SUCCESS
lexus_11,44.13,FAILURE,0.0,SUCCESS
lexus_12,5.56,SUCCESS,0.55,SUCCESS
AVERAGE,9.72,0.83,0.34,1.00
