scenario_name,ade_score,ade_rating,fde_score,fde_rating,collision_score,collision_rating,max_deceleration,max_deceleration_rating
planner_kroonuaia_jakobi,56.33,FAILURE,0.5,SUCCESS,0.07,FAILURE,5.52,FAILURE
planner_naituse_veski_1,51.14,FAILURE,0.41,SUCCESS,0.05,FAILURE,4.97,FAILURE
planner_naituse_veski_2,89.5,FAILURE,4.35,SUCCESS,0.0,SUCCESS,4.97,FAILURE
planner_naituse_veski_3,32.01,FAILURE,0.08,SUCCESS,0.0,SUCCESS,4.96,FAILURE
planner_raudtee_kabeli_1,53.35,FAILURE,2.49,SUCCESS,0.0,SUCCESS,5.31,FAILURE
planner_raudtee_kabeli_2,47.06,FAILURE,0.21,SUCCESS,0.0,SUCCESS,5.32,FAILURE
planner_raudtee_kabeli_3,36.9,FAILURE,0.6,SUCCESS,0.0,SUCCESS,4.96,FAILURE
planner_raudtee_kabeli_4,37.92,FAILURE,0.16,SUCCESS,0.0,SUCCESS,4.97,FAILURE
planner_riia_turu,90.62,FAILURE,8.58,SUCCESS,0.0,SUCCESS,3.36,FAILURE
planner_roosi_left,20.63,FAILURE,0.31,SUCCESS,0.0,SUCCESS,4.97,FAILURE
planner_roosi_right,18.62,FAILURE,0.28,SUCCESS,0.0,SUCCESS,1.13,SUCCESS
planner_roosi_straight,39.45,FAILURE,0.13,SUCCESS,0.0,SUCCESS,2.93,FAILURE
planner_roosi_test_exceptions,36.0,FAILURE,0.14,SUCCESS,0.0,SUCCESS,1.82,FAILURE
planner_vaike_turu,60.87,FAILURE,12.03,FAILURE,0.03,FAILURE,5.32,FAILURE
planner_straight_traj_collision_1,19.53,FAILURE,0.06,SUCCESS,0.03,FAILURE,5.32,FAILURE
planner_straight_traj_collision_2,17.5,FAILURE,0.11,SUCCESS,0.0,SUCCESS,1.14,SUCCESS
planner_traj_collision_approaching_vehicle,72.36,FAILURE,61.51,FAILURE,0.0,SUCCESS,4.97,FAILURE
planner_raekoja_crosswalk,29.17,FAILURE,0.15,SUCCESS,0.0,SUCCESS,5.32,FAILURE
planner_louna_circle_levels,77.91,FAILURE,2.09,SUCCESS,0.0,SUCCESS,2.39,FAILURE
planner_routing_graph,58.16,FAILURE,0.63,SUCCESS,0.0,SUCCESS,5.32,FAILURE
planner_right_hand_rule_1,21.39,FAILURE,0.03,SUCCESS,0.0,SUCCESS,1.43,SUCCESS
planner_right_hand_rule_2,25.95,FAILURE,0.07,SUCCESS,0.0,SUCCESS,1.16,SUCCESS
planner_yielding_1,61.08,FAILURE,1.04,SUCCESS,0.0,SUCCESS,3.83,FAILURE
planner_yielding_roundabout,21.63,FAILURE,2.26,SUCCESS,0.0,SUCCESS,5.52,FAILURE
planner_left_turn_to_jaama,41.62,FAILURE,0.12,SUCCESS,0.0,SUCCESS,5.32,FAILURE
planner_crosswalk_angles,21.47,FAILURE,0.27,SUCCESS,0.0,SUCCESS,4.97,FAILURE
planner_crosswalk_cars_1,38.02,FAILURE,8.11,SUCCESS,0.0,SUCCESS,4.97,FAILURE
planner_crosswalk_cars_2,25.95,FAILURE,6.28,SUCCESS,0.0,SUCCESS,1.88,FAILURE
planner_crosswalk_scooter_1,30.42,FAILURE,13.23,FAILURE,0.0,SUCCESS,3.63,FAILURE
AVERAGE,42.50,0.00,4.35,0.90,0.01,0.86,4.06,0.14
