scenario_name,ade_score,ade_rating,fde_score,fde_rating,collision_score,collision_rating,max_deceleration,max_deceleration_rating
swerving_01,4.93,SUCCESS,6.74,SUCCESS,0.0,SUCCESS,1.14,SUCCESS
swerving_02,58.41,FAILURE,24.03,FAILURE,0.0,SUCCESS,1.43,SUCCESS
swerving_03,35.48,FAILURE,59.64,FAILURE,0.0,SUCCESS,1.32,SUCCESS
swerving_04,30.72,FAILURE,62.4,FAILURE,0.0,SUCCESS,1.12,SUCCESS
swerving_05,23.84,FAILURE,31.13,FAILURE,0.0,SUCCESS,1.18,SUCCESS
swerving_06,9.97,SUCCESS,44.28,FAILURE,0.0,SUCCESS,5.52,FAILURE
swerving_07,25.39,FAILURE,48.04,FAILURE,0.0,SUCCESS,1.25,SUCCESS
swerving_08,15.32,FAILURE,37.91,FAILURE,0.0,SUCCESS,1.27,SUCCESS
swerving_09,8.04,SUCCESS,41.96,FAILURE,0.14,FAILURE,4.97,FAILURE
swerving_10,25.88,FAILURE,2.78,SUCCESS,0.0,SUCCESS,4.96,FAILURE
swerving_11,15.33,FAILURE,47.81,FAILURE,0.0,SUCCESS,1.32,SUCCESS
swerving_12,28.34,FAILURE,28.48,FAILURE,0.0,SUCCESS,1.15,SUCCESS
swerving_13,40.41,FAILURE,51.32,FAILURE,0.11,FAILURE,24.86,FAILURE
swerving_14,7.94,SUCCESS,23.18,FAILURE,0.0,SUCCESS,1.44,SUCCESS
swerving_16,39.86,FAILURE,75.05,FAILURE,0.18,FAILURE,4.97,FAILURE
swerving_17,20.88,FAILURE,33.46,FAILURE,0.0,SUCCESS,1.09,SUCCESS
swerving_19,19.35,FAILURE,47.31,FAILURE,0.0,SUCCESS,1.2,SUCCESS
swerving_20,9.79,SUCCESS,31.86,FAILURE,0.0,SUCCESS,4.51,FAILURE
swerving_21,7.96,SUCCESS,8.68,SUCCESS,0.0,SUCCESS,1.24,SUCCESS
AVERAGE,22.52,0.32,37.16,0.16,0.02,0.84,3.47,0.68
