scenario_name,ade_score,ade_rating,fde_score,fde_rating,collision_score,collision_rating,max_deceleration,max_deceleration_rating
yielding_01,11.66,FAILURE,40.07,FAILURE,0.0,SUCCESS,2.35,FAILURE
yielding_03,5.69,SUCCESS,18.23,FAILURE,0.0,SUCCESS,5.32,FAILURE
yielding_04,5.51,SUCCESS,5.6,SUCCESS,0.0,SUCCESS,5.31,FAILURE
yielding_09,5.09,SUCCESS,1.18,SUCCESS,0.09,FAILURE,4.97,FAILURE
yielding_11,21.36,FAILURE,40.49,FAILURE,0.18,FAILURE,5.15,FAILURE
yielding_12,27.72,FAILURE,78.09,FAILURE,0.25,FAILURE,4.97,FAILURE
yielding_13,3.93,SUCCESS,1.95,SUCCESS,0.04,FAILURE,5.32,FAILURE
yielding_14,2.46,SUCCESS,18.28,FAILURE,0.0,SUCCESS,4.97,FAILURE
yielding_15,20.31,FAILURE,43.77,FAILURE,0.0,SUCCESS,4.97,FAILURE
yielding_16,2.35,SUCCESS,2.5,SUCCESS,0.0,SUCCESS,4.97,FAILURE
yielding_17,4.49,SUCCESS,6.75,SUCCESS,0.0,SUCCESS,5.32,FAILURE
yielding_18,3.57,SUCCESS,7.76,SUCCESS,0.0,SUCCESS,1.14,SUCCESS
yielding_19,0.94,SUCCESS,2.36,SUCCESS,0.0,SUCCESS,4.97,FAILURE
yielding_20,56.17,FAILURE,58.71,FAILURE,0.12,FAILURE,4.97,FAILURE
yielding_22,11.28,FAILURE,60.14,FAILURE,0.05,FAILURE,4.97,FAILURE
AVERAGE,12.17,0.60,25.73,0.47,0.05,0.60,4.64,0.07
