# bag_name, start, duration, scenario_number, regenerate
2025-04-22-10-20-47_demo_rides_april_22.bag, 545, 21, 01, true
2025-04-22-10-20-47_demo_rides_april_22.bag, 950, 56, 02, true
2025-04-22-10-20-47_demo_rides_april_22.bag, 1060, 31, 03, true
2025-04-29-11-56-42_april_demo_29.bag, 86, 28, 04, true
2025-04-29-11-56-42_april_demo_29.bag, 120, 22, 05, true
2025-04-22-13-42-30_demo_rides_22_april.bag, 8, 22, 06, true
2025-04-22-13-42-30_demo_rides_22_april.bag, 548, 28, 07, true
2025-04-03-10-21-18_demo_clevon.bag, 201, 18, 08, true
2025-04-15-14-28-26_demo_april_15.bag, 272, 23, 09, true
2025-04-15-14-28-26_demo_april_15.bag, 683, 40, 10, true
2025-04-29-11-19-09_april_demo_29.bag, 231, 25, 11, true
2025-04-29-11-19-09_april_demo_29.bag, 537, 21, 12, true
2025-04-29-11-34-23_april_demo_29.bag, 205, 59, 13, true
2025-04-03-10-31-05_demo_clevon.bag, 270, 16, 14, true
2025-04-10-14-02-13_demo_april.bag, 255, 25, 16, true
2025-04-10-14-02-13_demo_april.bag, 651, 19, 17, true
2025-04-29-11-43-41_april_demo_29.bag, 34, 25, 19, true
2025-04-29-11-43-41_april_demo_29.bag, 82, 47, 20, true
2025-04-29-11-43-41_april_demo_29.bag, 225, 21, 21, true

